Construct_Name,Description,Source,Metadata_Value
Holy Grail,Academic construct from OpenAlex literature.,OpenAlex,1
Holography,Academic construct from OpenAlex literature.,OpenAlex,1
Premises,Academic construct from OpenAlex literature.,OpenAlex,1
Narrative criticism,Academic construct from OpenAlex literature.,OpenAlex,1
Records management,Academic construct from OpenAlex literature.,OpenAlex,1
Battle,Academic construct from OpenAlex literature.,OpenAlex,1
Opioid overdose,Academic construct from OpenAlex literature.,OpenAlex,1
Gold medal,Academic construct from OpenAlex literature.,OpenAlex,1
Demographic profile,Academic construct from OpenAlex literature.,OpenAlex,1
Medical diagnosis,Academic construct from OpenAlex literature.,OpenAlex,1
Willingness to pay,Academic construct from OpenAlex literature.,OpenAlex,1
Contingent valuation,Academic construct from OpenAlex literature.,OpenAlex,1
Neurasthenia,Academic construct from OpenAlex literature.,OpenAlex,1
Mire,Academic construct from OpenAlex literature.,OpenAlex,1
Peat,Academic construct from OpenAlex literature.,OpenAlex,1
Medical decision making,Academic construct from OpenAlex literature.,OpenAlex,1
Laissez-faire,Academic construct from OpenAlex literature.,OpenAlex,1
Constellation,Academic construct from OpenAlex literature.,OpenAlex,1
Service level,Academic construct from OpenAlex literature.,OpenAlex,1
Behavior change methods,Academic construct from OpenAlex literature.,OpenAlex,1
Sense of community,Academic construct from OpenAlex literature.,OpenAlex,1
Broaching,Academic construct from OpenAlex literature.,OpenAlex,1
General theory,Academic construct from OpenAlex literature.,OpenAlex,1
Business enterprise,Academic construct from OpenAlex literature.,OpenAlex,1
Digital firm,Academic construct from OpenAlex literature.,OpenAlex,1
Freight trains,Academic construct from OpenAlex literature.,OpenAlex,1
Test anxiety,Academic construct from OpenAlex literature.,OpenAlex,1
Factoring,Academic construct from OpenAlex literature.,OpenAlex,1
Multilingualism,Academic construct from OpenAlex literature.,OpenAlex,1
Pharmaceutical industry,Academic construct from OpenAlex literature.,OpenAlex,1
Eudaimonia,Academic construct from OpenAlex literature.,OpenAlex,1
White-collar crime,Academic construct from OpenAlex literature.,OpenAlex,1
Financial security,Academic construct from OpenAlex literature.,OpenAlex,1
Contingency plan,Academic construct from OpenAlex literature.,OpenAlex,1
Clinical audit,Academic construct from OpenAlex literature.,OpenAlex,1
ANT,Academic construct from OpenAlex literature.,OpenAlex,1
Suggestibility,Academic construct from OpenAlex literature.,OpenAlex,1
Freedman,Academic construct from OpenAlex literature.,OpenAlex,1
Hymenoptera,Academic construct from OpenAlex literature.,OpenAlex,1
Perfection,Academic construct from OpenAlex literature.,OpenAlex,1
Racial diversity,Academic construct from OpenAlex literature.,OpenAlex,1
Attributive,Academic construct from OpenAlex literature.,OpenAlex,1
Unstructured data,Academic construct from OpenAlex literature.,OpenAlex,1
Ethnocentrism,Academic construct from OpenAlex literature.,OpenAlex,1
Multicollinearity,Academic construct from OpenAlex literature.,OpenAlex,1
Plenary session,Academic construct from OpenAlex literature.,OpenAlex,1
Frequently asked questions,Academic construct from OpenAlex literature.,OpenAlex,1
Holism,Academic construct from OpenAlex literature.,OpenAlex,1
Readability,Academic construct from OpenAlex literature.,OpenAlex,1
Appeal to emotion,Academic construct from OpenAlex literature.,OpenAlex,1
Editor in chief,Academic construct from OpenAlex literature.,OpenAlex,1
Transdisciplinarity,Academic construct from OpenAlex literature.,OpenAlex,1
Post graduate,Academic construct from OpenAlex literature.,OpenAlex,1
Public interest,Academic construct from OpenAlex literature.,OpenAlex,1
Columbia university,Academic construct from OpenAlex literature.,OpenAlex,1
Red Army's tactics in World War II,Academic construct from OpenAlex literature.,OpenAlex,1
Instrumental variable,Academic construct from OpenAlex literature.,OpenAlex,1
Black box,Academic construct from OpenAlex literature.,OpenAlex,1
Offshoring,Academic construct from OpenAlex literature.,OpenAlex,1
Bargaining power,Academic construct from OpenAlex literature.,OpenAlex,1
Short course,Academic construct from OpenAlex literature.,OpenAlex,1
Neuroimaging,Academic construct from OpenAlex literature.,OpenAlex,1
Genome,Academic construct from OpenAlex literature.,OpenAlex,1
Genomics,Academic construct from OpenAlex literature.,OpenAlex,1
Statistical genetics,Academic construct from OpenAlex literature.,OpenAlex,1
Cultural studies,Academic construct from OpenAlex literature.,OpenAlex,1
Labor disputes,Academic construct from OpenAlex literature.,OpenAlex,1
Launched,Academic construct from OpenAlex literature.,OpenAlex,1
Blindness,Academic construct from OpenAlex literature.,OpenAlex,1
Dura mater,Academic construct from OpenAlex literature.,OpenAlex,1
Alma mater,Academic construct from OpenAlex literature.,OpenAlex,1
Directory,Academic construct from OpenAlex literature.,OpenAlex,1
Executive director,Academic construct from OpenAlex literature.,OpenAlex,1
Internal stress,Academic construct from OpenAlex literature.,OpenAlex,1
Aphasia,Academic construct from OpenAlex literature.,OpenAlex,1
Food distribution,Academic construct from OpenAlex literature.,OpenAlex,1
Adult learner,Academic construct from OpenAlex literature.,OpenAlex,1
Corrective feedback,Academic construct from OpenAlex literature.,OpenAlex,1
Stage theory,Academic construct from OpenAlex literature.,OpenAlex,1
Tel aviv,Academic construct from OpenAlex literature.,OpenAlex,1
Interrupt,Academic construct from OpenAlex literature.,OpenAlex,1
Universalization,Academic construct from OpenAlex literature.,OpenAlex,1
Indigenization,Academic construct from OpenAlex literature.,OpenAlex,1
Adverse effect,Academic construct from OpenAlex literature.,OpenAlex,1
Ingenuity,Academic construct from OpenAlex literature.,OpenAlex,1
Unpaid work,Academic construct from OpenAlex literature.,OpenAlex,1
Black women,Academic construct from OpenAlex literature.,OpenAlex,1
Brain function,Academic construct from OpenAlex literature.,OpenAlex,1
Lateralization of brain function,Academic construct from OpenAlex literature.,OpenAlex,1
Laterality,Academic construct from OpenAlex literature.,OpenAlex,1
Graphics,Academic construct from OpenAlex literature.,OpenAlex,1
Subliminal stimuli,Academic construct from OpenAlex literature.,OpenAlex,1
Global citizenship,Academic construct from OpenAlex literature.,OpenAlex,1
Anesthesiology,Academic construct from OpenAlex literature.,OpenAlex,1
Grid,Academic construct from OpenAlex literature.,OpenAlex,1
Magic bullet,Academic construct from OpenAlex literature.,OpenAlex,1
Adult male,Academic construct from OpenAlex literature.,OpenAlex,1
Psychological evaluation,Academic construct from OpenAlex literature.,OpenAlex,1
State police,Academic construct from OpenAlex literature.,OpenAlex,1
Theory of criminal justice,Academic construct from OpenAlex literature.,OpenAlex,1
Laziness,Academic construct from OpenAlex literature.,OpenAlex,1
Marine transgression,Academic construct from OpenAlex literature.,OpenAlex,1
Structural basin,Academic construct from OpenAlex literature.,OpenAlex,1
Amotivation,Academic construct from OpenAlex literature.,OpenAlex,1
Low wage,Academic construct from OpenAlex literature.,OpenAlex,1
Attention deficit disorder,Academic construct from OpenAlex literature.,OpenAlex,1
Type I and type II errors,Academic construct from OpenAlex literature.,OpenAlex,1
Eclecticism,Academic construct from OpenAlex literature.,OpenAlex,1
Aside,Academic construct from OpenAlex literature.,OpenAlex,1
Dar es salaam,Academic construct from OpenAlex literature.,OpenAlex,1
Weibull distribution,Academic construct from OpenAlex literature.,OpenAlex,1
Test data,Academic construct from OpenAlex literature.,OpenAlex,1
Test plan,Academic construct from OpenAlex literature.,OpenAlex,1
DEPT,Academic construct from OpenAlex literature.,OpenAlex,1
Emotional security,Academic construct from OpenAlex literature.,OpenAlex,1
Singularity,Academic construct from OpenAlex literature.,OpenAlex,1
Patrolling,Academic construct from OpenAlex literature.,OpenAlex,1
Misnomer,Academic construct from OpenAlex literature.,OpenAlex,1
Adjudication,Academic construct from OpenAlex literature.,OpenAlex,1
Structure and agency,Academic construct from OpenAlex literature.,OpenAlex,1
Sociometry,Academic construct from OpenAlex literature.,OpenAlex,1
License,Academic construct from OpenAlex literature.,OpenAlex,1
Verbal aggression,Academic construct from OpenAlex literature.,OpenAlex,1
Consciousness raising,Academic construct from OpenAlex literature.,OpenAlex,1
Igbo,Academic construct from OpenAlex literature.,OpenAlex,1
Capital city,Academic construct from OpenAlex literature.,OpenAlex,1
Temptation,Academic construct from OpenAlex literature.,OpenAlex,1
Standard deviation,Academic construct from OpenAlex literature.,OpenAlex,1
Electronic communication,Academic construct from OpenAlex literature.,OpenAlex,1
Active duty,Academic construct from OpenAlex literature.,OpenAlex,1
Wilderness,Academic construct from OpenAlex literature.,OpenAlex,1
Inventory management,Academic construct from OpenAlex literature.,OpenAlex,1
Retail trade,Academic construct from OpenAlex literature.,OpenAlex,1
Yoruba,Academic construct from OpenAlex literature.,OpenAlex,1
Bachelor degree,Academic construct from OpenAlex literature.,OpenAlex,1
Androgyny,Academic construct from OpenAlex literature.,OpenAlex,1
Tertiary level,Academic construct from OpenAlex literature.,OpenAlex,1
Mosaic,Academic construct from OpenAlex literature.,OpenAlex,1
Assertive community treatment,Academic construct from OpenAlex literature.,OpenAlex,1
Ivory tower,Academic construct from OpenAlex literature.,OpenAlex,1
General aviation,Academic construct from OpenAlex literature.,OpenAlex,1
Morita therapy,Academic construct from OpenAlex literature.,OpenAlex,1
Neurosis,Academic construct from OpenAlex literature.,OpenAlex,1
Service member,Academic construct from OpenAlex literature.,OpenAlex,1
Pension,Academic construct from OpenAlex literature.,OpenAlex,1
Customer retention,Academic construct from OpenAlex literature.,OpenAlex,1
Portrait,Academic construct from OpenAlex literature.,OpenAlex,1
Conflict resolution strategy,Academic construct from OpenAlex literature.,OpenAlex,1
Managing change,Academic construct from OpenAlex literature.,OpenAlex,1
Bayesian network,Academic construct from OpenAlex literature.,OpenAlex,1
Program management,Academic construct from OpenAlex literature.,OpenAlex,1
Extreme project management,Academic construct from OpenAlex literature.,OpenAlex,1
Project planning,Academic construct from OpenAlex literature.,OpenAlex,1
Project stakeholder,Academic construct from OpenAlex literature.,OpenAlex,1
Project risk management,Academic construct from OpenAlex literature.,OpenAlex,1
Project charter,Academic construct from OpenAlex literature.,OpenAlex,1
Apathy,Academic construct from OpenAlex literature.,OpenAlex,1
Projective identification,Academic construct from OpenAlex literature.,OpenAlex,1
Adjunct,Academic construct from OpenAlex literature.,OpenAlex,1
Seriousness,Academic construct from OpenAlex literature.,OpenAlex,1
Relative value,Academic construct from OpenAlex literature.,OpenAlex,1
Code of conduct,Academic construct from OpenAlex literature.,OpenAlex,1
Peer influence,Academic construct from OpenAlex literature.,OpenAlex,1
Personalism,Academic construct from OpenAlex literature.,OpenAlex,1
Public servant,Academic construct from OpenAlex literature.,OpenAlex,1
Privacy rights,Academic construct from OpenAlex literature.,OpenAlex,1
Hemodialysis,Academic construct from OpenAlex literature.,OpenAlex,1
Learning disabled,Academic construct from OpenAlex literature.,OpenAlex,1
Joint audit,Academic construct from OpenAlex literature.,OpenAlex,1
Developmental age,Academic construct from OpenAlex literature.,OpenAlex,1
Industrial technology,Academic construct from OpenAlex literature.,OpenAlex,1
Excursion,Academic construct from OpenAlex literature.,OpenAlex,1
Contingency management,Academic construct from OpenAlex literature.,OpenAlex,1
Mexican americans,Academic construct from OpenAlex literature.,OpenAlex,1
Performance art,Academic construct from OpenAlex literature.,OpenAlex,1
Political change,Academic construct from OpenAlex literature.,OpenAlex,1
Pacific Rim,Academic construct from OpenAlex literature.,OpenAlex,1
Social norms approach,Academic construct from OpenAlex literature.,OpenAlex,1
Peer acceptance,Academic construct from OpenAlex literature.,OpenAlex,1
Dominion,Academic construct from OpenAlex literature.,OpenAlex,1
Contemporary theory,Academic construct from OpenAlex literature.,OpenAlex,1
Abstinence,Academic construct from OpenAlex literature.,OpenAlex,1
Speculation,Academic construct from OpenAlex literature.,OpenAlex,1
Smoking cessation,Academic construct from OpenAlex literature.,OpenAlex,1
Organism,Academic construct from OpenAlex literature.,OpenAlex,1
Addictive behavior,Academic construct from OpenAlex literature.,OpenAlex,1
Overeating,Academic construct from OpenAlex literature.,OpenAlex,1
Communication skills training,Academic construct from OpenAlex literature.,OpenAlex,1
Procurement,Academic construct from OpenAlex literature.,OpenAlex,1
